,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
64,Boy,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112813410/boy,2.9,-1,Sport,5.12b,1,,34.36605,-85.66144
65,Dark Star,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112844651/dark-star,2.9,-1,Sport,5.12b,1,,34.3588,-85.67018
66,Dogtown,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/115419030/dogtown,2.6,-1,Sport,5.10a,1,40.0,34.32235,-85.67426
67,Buster Brown,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786129/buster-brown,2.3,-1,Sport,5.11b,1,,34.36605,-85.66144
68,Exploding Boy,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/115461992/exploding-boy,2.8,-1,Sport,5.11b,1,,34.32235,-85.67426
69,Maurice Corner,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114335213/maurice-corner,2.8,-1,Sport,5.12a,1,70.0,34.3588,-85.67018
70,Estrella Oscura,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/113431729/estrella-oscura,2.8,-1,Sport,5.12b,1,70.0,34.3588,-85.67018
71,Allthea,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112844549/allthea,2.5,-1,Sport,5.11d,1,,34.3588,-85.67018
72,Vogue,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/112819453/vogue,2.3,-1,Sport,5.10a,1,,34.364979999999996,-85.66091999999999
73,Shepatitis,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/118783637/shepatitis,3.0,-1,Sport,5.10a,1,50.0,34.32235,-85.67426
74,Area of Doubt,Unshackled > Little River Canyon > Alabama,https://www.mountainproject.com/route/115433088/area-of-doubt,3.0,-1,Sport,5.13a,1,50.0,34.32235,-85.67426
75,Crazy Fingers,Lizard Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114342307/crazy-fingers,3.0,-1,Sport,5.12a PG13,1,,34.3588,-85.67018
76,Monkey Tails,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/114978928/monkey-tails,2.8,-1,Sport,5.12b,1,,34.36605,-85.66144
77,Ego East,Jungle Gym/Grey Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/112786189/ego-east,2.4,-1,Sport,5.11a,1,,34.36605,-85.66144
78,Nurse Ratchet,The Crazy House > Tourist Wall > Little River Canyon > Alabama,https://www.mountainproject.com/route/116741023/nurse-ratchet,3.0,-1,Sport,5.12b,1,50.0,34.36424,-85.65413000000001
79,Gel God,Grace Falls > Little River Canyon > Alabama,https://www.mountainproject.com/route/118876349/gel-god,3.0,-1,Sport,5.12a/b,1,70.0,34.35929,-85.66846
80,Throw,Toomsuba > Little River Canyon > Alabama,https://www.mountainproject.com/route/115337387/throw,3.0,-1,Sport,5.11d,1,,34.364979999999996,-85.66091999999999
