id,Avg Stars,Your Stars,Route Type,Pitches,Length,Area Latitude,Area Longitude,name,rating,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium
106231764,2.0,-1,Trad,1,70.0,34.1804,-85.81700000000002,V-Neck,5.9+,3,"['Alabama', 'Sand Rock', 'The Sandtrap']",https://www.mountainproject.com/route/106231764/v-neck,https://cdn2.apstatic.com/photos/climb/116648003_sqsmall_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_small_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_smallMed_1575790465.jpg,https://cdn2.apstatic.com/photos/climb/116648003_medium_1575790465.jpg
106231768,2.7,-1,Trad,1,65.0,34.1804,-85.81700000000002,Harvest Moon,5.10c/d,3,"['Alabama', 'Sand Rock', 'The Sandtrap']",https://www.mountainproject.com/route/106231768/harvest-moon,,,,
106232905,1.7,-1,Trad,1,40.0,35.17715,-85.68247,Flim Flam,5.8,9,"['Tennessee', 'Foster Falls', 'Jimmywood']",https://www.mountainproject.com/route/106232905/flim-flam,,,,
106232966,2.2,-1,Sport,1,30.0,35.17715,-85.68247,That Orange Hat,5.10b,16,"['Tennessee', 'Foster Falls', 'Jimmywood']",https://www.mountainproject.com/route/106232966/that-orange-hat,https://cdn2.apstatic.com/photos/climb/110121424_sqsmall_1494369824.jpg,https://cdn2.apstatic.com/photos/climb/110121424_small_1494369824.jpg,https://cdn2.apstatic.com/photos/climb/110121424_smallMed_1494369824.jpg,https://cdn2.apstatic.com/photos/climb/110121424_medium_1494369824.jpg
106232985,2.4,-1,Sport,1,40.0,35.17715,-85.68247,Snake Charmer,5.11a,13,"['Tennessee', 'Foster Falls', 'Jimmywood']",https://www.mountainproject.com/route/106232985/snake-charmer,https://cdn2.apstatic.com/photos/climb/112560467_sqsmall_1494313008.jpg,https://cdn2.apstatic.com/photos/climb/112560467_small_1494313008.jpg,https://cdn2.apstatic.com/photos/climb/112560467_smallMed_1494313008.jpg,https://cdn2.apstatic.com/photos/climb/112560467_medium_1494313008.jpg
106242721,2.9,-1,Trad,1,80.0,34.17948,-85.81775,Loosy Goosy,5.8+,30,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/106242721/loosy-goosy,https://cdn2.apstatic.com/photos/climb/111341646_sqsmall_1494348525.jpg,https://cdn2.apstatic.com/photos/climb/111341646_small_1494348525.jpg,https://cdn2.apstatic.com/photos/climb/111341646_smallMed_1494348525.jpg,https://cdn2.apstatic.com/photos/climb/111341646_medium_1494348525.jpg
106248014,2.0,-1,Sport,1,40.0,35.17702,-85.68673000000003,Dutch Maiden,5.10a,31,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/106248014/dutch-maiden,https://cdn2.apstatic.com/photos/climb/106409774_sqsmall_1494106256.jpg,https://cdn2.apstatic.com/photos/climb/106409774_small_1494106256.jpg,https://cdn2.apstatic.com/photos/climb/106409774_smallMed_1494106256.jpg,https://cdn2.apstatic.com/photos/climb/106409774_medium_1494106256.jpg
106248023,2.5,-1,Sport,1,50.0,35.17702,-85.68673000000003,Timeless Christian Values,5.9+,61,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/106248023/timeless-christian-values,https://cdn2.apstatic.com/photos/climb/118264253_sqsmall_1579536637.jpg,https://cdn2.apstatic.com/photos/climb/118264253_small_1579536637.jpg,https://cdn2.apstatic.com/photos/climb/118264253_smallMed_1579536637.jpg,https://cdn2.apstatic.com/photos/climb/118264253_medium_1579536637.jpg
106248042,2.4,-1,Sport,1,70.0,35.17702,-85.68673000000003,Pocket Pool,5.9,88,"['Tennessee', 'Foster Falls', 'The Red Light District']",https://www.mountainproject.com/route/106248042/pocket-pool,https://cdn2.apstatic.com/photos/climb/107359297_sqsmall_1494183914.jpg,https://cdn2.apstatic.com/photos/climb/107359297_small_1494183914.jpg,https://cdn2.apstatic.com/photos/climb/107359297_smallMed_1494183914.jpg,https://cdn2.apstatic.com/photos/climb/107359297_medium_1494183914.jpg
106253491,1.9,-1,Sport,1,50.0,35.17715,-85.68247,38 Special,5.10a,36,"['Tennessee', 'Foster Falls', 'Jimmywood']",https://www.mountainproject.com/route/106253491/38-special,https://cdn2.apstatic.com/photos/climb/108188879_sqsmall_1494268156.jpg,https://cdn2.apstatic.com/photos/climb/108188879_small_1494268156.jpg,https://cdn2.apstatic.com/photos/climb/108188879_smallMed_1494268156.jpg,https://cdn2.apstatic.com/photos/climb/108188879_medium_1494268156.jpg
106301622,2.8,-1,Sport,1,40.0,34.17961,-85.8179,Tales From the Hard Side,5.11d,14,"['Alabama', 'Sand Rock', 'Holiday Block']",https://www.mountainproject.com/route/106301622/tales-from-the-hard-side,https://cdn2.apstatic.com/photos/climb/116708598_sqsmall_1554735179.jpg,https://cdn2.apstatic.com/photos/climb/116708598_small_1554735179.jpg,https://cdn2.apstatic.com/photos/climb/116708598_smallMed_1554735179.jpg,https://cdn2.apstatic.com/photos/climb/116708598_medium_1554735179.jpg
106302903,2.0,-1,Trad,1,,34.1804,-85.81700000000002,Turtles Tail,5.11c/d,1,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302903/turtles-tail,,,,
106302907,2.0,-1,Trad,1,,34.1804,-85.81700000000002,Turtle Soup,5.11b/c,1,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302907/turtle-soup,,,,
106302911,1.5,-1,Trad,1,,34.1804,-85.81700000000002,Rodeo Ride,5.10a,2,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302911/rodeo-ride,,,,
106302915,2.5,-1,Sport,1,,34.1804,-85.81700000000002,Spooky,5.11d,2,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302915/spooky,https://cdn2.apstatic.com/photos/climb/118132541_sqsmall_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_small_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_smallMed_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_medium_1585692544.jpg
106302924,2.8,-1,Sport,1,,34.1804,-85.81700000000002,Sloth,5.11c,8,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302924/sloth,https://cdn2.apstatic.com/photos/climb/111841105_sqsmall_1494307322.jpg,https://cdn2.apstatic.com/photos/climb/111841105_small_1494307322.jpg,https://cdn2.apstatic.com/photos/climb/111841105_smallMed_1494307322.jpg,https://cdn2.apstatic.com/photos/climb/111841105_medium_1494307322.jpg
106302929,2.5,-1,Sport,1,,34.1804,-85.81700000000002,Access Denied,5.12b,4,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302929/access-denied,https://cdn2.apstatic.com/photos/climb/118132541_sqsmall_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_small_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_smallMed_1585692544.jpg,https://cdn2.apstatic.com/photos/climb/118132541_medium_1585692544.jpg
106302950,3.4,-1,Sport,1,,34.1804,-85.81700000000002,Klingon,5.11d,8,"['Alabama', 'Sand Rock', 'Turtle Rock']",https://www.mountainproject.com/route/106302950/klingon,https://cdn2.apstatic.com/photos/climb/116654231_sqsmall_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_small_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_smallMed_1585693007.jpg,https://cdn2.apstatic.com/photos/climb/116654231_medium_1585693007.jpg
106302956,2.0,-1,Trad,1,80.0,34.17948,-85.81775,Alternate Start,5.9,8,"['Alabama', 'Sand Rock', 'The Pinnacle']",https://www.mountainproject.com/route/106302956/alternate-start,https://cdn2.apstatic.com/photos/climb/106302963_sqsmall_1494095879.jpg,https://cdn2.apstatic.com/photos/climb/106302963_small_1494095879.jpg,https://cdn2.apstatic.com/photos/climb/106302963_smallMed_1494095879.jpg,https://cdn2.apstatic.com/photos/climb/106302963_medium_1494095879.jpg
106302969,3.3,-1,Trad,1,,34.18027,-85.81621,Champagne Jam,5.12c/d,4,"['Alabama', 'Sand Rock', 'Grotto']",https://www.mountainproject.com/route/106302969/champagne-jam,https://cdn2.apstatic.com/photos/climb/110324935_sqsmall_1494370949.jpg,https://cdn2.apstatic.com/photos/climb/110324935_small_1494370949.jpg,https://cdn2.apstatic.com/photos/climb/110324935_smallMed_1494370949.jpg,https://cdn2.apstatic.com/photos/climb/110324935_medium_1494370949.jpg
